Timestamp, Temp_Raw, CPU_Raw, RAM_Raw, Battery_Raw, Temp_Filtered, CPU_Filtered, RAM_Filtered, Battery_Filtered, Stress_Score, Is_Normal
2026-08-20 19:55:22, 60, 0, 68.1, 47, 60, 0, 68.1, 47, 42.92, 1
2026-08-20 19:55:23, 43.02, 0, 68.2, 47, 51.51, 0, 68.15, 47, 39.534, 1
2026-08-20 19:55:24, 42.12, 0, 68.2, 47, 48.38, 0, 68.1667, 47, 38.2853, 1
2026-08-20 19:55:25, 42.9, 0, 68.6, 47, 47.01, 0, 68.275, 47, 37.759, 1
2026-08-20 19:55:26, 42.26, 0, 68.6, 47, 46.06, 0, 68.34, 47, 37.392, 1
2026-08-20 19:55:27, 42.06, 0, 68.8, 47, 42.472, 0, 68.48, 47, 35.9848, 1
2026-08-20 19:55:28, 42.64, 0, 68.8, 47, 42.396, 0, 68.6, 47, 35.9784, 1
2026-08-20 19:55:29, 42.34, 0, 68.7, 47, 42.44, 0, 68.7, 47, 36.016, 1
2026-08-20 19:55:30, 42.34, 0, 68.7, 47, 42.328, 0, 68.72, 47, 35.9752, 1
2026-08-20 19:55:31, 42.8, 0, 68.2, 47, 42.436, 0, 68.64, 47, 36.0024, 1
2026-08-20 19:55:32, 42.3, 0, 68.2, 47, 42.484, 0, 68.52, 47, 35.9976, 1
2026-08-20 19:55:33, 42.34, 0, 68.3, 47, 42.424, 0, 68.42, 47, 35.9536, 1
2026-08-20 19:55:34, 42.16, 0, 68.4, 47, 42.388, 0, 68.36, 47, 35.9272, 1
2026-08-20 19:55:35, 42.5, 0, 68.4, 47, 42.42, 0, 68.3, 47, 35.928, 1
2026-08-20 19:55:36, 42.7, 100, 68.4, 47, 42.4, 20, 68.34, 47, 41.928, 1
2026-08-20 19:55:37, 43.94, 0, 68.5, 47, 42.728, 20, 68.4, 47, 42.0712, 1
2026-08-20 19:55:38, 43.68, 0, 69.1, 47, 42.996, 20, 68.56, 47, 42.2104, 1
2026-08-20 19:55:39, 44, 0, 69.1, 47, 43.364, 20, 68.7, 47, 42.3856, 1
2026-08-20 19:55:40, 46.74, 0, 69.4, 47, 44.212, 20, 68.9, 47, 42.7648, 1
2026-08-20 19:55:41, 46.34, 0, 69.5, 47, 44.94, 0, 69.12, 47, 37.1, 1
2026-08-20 19:55:42, 46.98, 0, 69.5, 47, 45.548, 0, 69.32, 47, 37.3832, 1
2026-08-20 19:55:43, 45.44, 0, 69.5, 47, 45.9, 0, 69.4, 47, 37.54, 1
2026-08-20 19:55:44, 44.48, 0, 69.3, 47, 45.996, 0, 69.44, 47, 37.5864, 1
2026-08-20 19:55:45, 45.78, 0, 69.4, 47, 45.804, 0, 69.44, 47, 37.5096, 1
2026-08-20 19:55:46, 44.88, 0, 69.4, 47, 45.512, 0, 69.42, 47, 37.3888, 1
2026-08-20 19:55:47, 47.08, 0, 69.4, 47, 45.532, 0, 69.4, 47, 37.3928, 1
2026-08-20 19:55:48, 41.74, 0, 69.4, 47, 44.792, 0, 69.38, 47, 37.0928, 1
2026-08-20 19:55:49, 41.86, 0, 69.3, 47, 44.268, 0, 69.38, 47, 36.8832, 1
